doi,title,year,authors_str
10.3390/brainsci13121719,Assisted Cycle Therapy (ACT) Improved Self-Efficacy and Exercise Perception in Middle-Age Adults with Down Syndrome,2023,Shannon D. R. Ringenbach; Nathaniel E. Arnold; Kori Tucker; Miya K. Rand; Breanna E. Studenka; Stockton B. Ringenbach; Chih-Chia Chen
10.1590/0037-8682-0230-2016,Bacterial immunostat: Mycobacterium tuberculosis lipids and their role in the host immune response,2017,Adriano Queiroz; Lee W. Riley
10.3389/fmicb.2017.02284,The Macrophage: A Disputed Fortress in the Battle against Mycobacterium tuberculosis,2017,Christophe J. Queval; Roland Brosch; Roxane Simeone
10.1099/00221287-144-5-1205,Characterization of a haemolysin from Mycobacterium tuberculosis with homology to a virulence factor of Serpulina hyodysenteriae,1998,Brendan W. Wren; Richard A. Stabler; Satya S. Das; Philip D. Butcher; Joseph A. Mangan; Jonathan D. Clarke; Nicola Casali; Tanya Parish; Neil G. Stoker
10.1073/pnas.1523321113,Separable roles for<i>Mycobacterium tuberculosis</i>ESX-3 effectors in iron acquisition and virulence,2016,JoAnn M. Tufariello; Jessica R. Chapman; Christopher A. Kerantzas; Ka-Wing Wong; Catherine Vilchèze; Christopher M. Jones; Laura E. Cole; Emir Tinaztepe; Victor Thompson; David Fenyö; Michael Niederweis; Beatrix Ueberheide; Jennifer A. Philips; William R. Jacobs
10.1016/j.immuni.2014.08.005,Dectin-2 Is a Direct Receptor for Mannose-Capped Lipoarabinomannan of Mycobacteria,2014,Akiko Yonekawa; Shinobu Saijo; Yoshihiko Hoshino; Yasunobu Miyake; Eri Ishikawa; Maho Suzukawa; Hiromasa Inoue; Masato Tanaka; Mitsutoshi Yoneyama; Masatsugu Oh-hora; Koichi Akashi; Sho Yamasaki
10.1016/j.immuni.2008.12.018,B Lymphocytes Exit Lymph Nodes through Cortical Lymphatic Sinusoids by a Mechanism Independent of Sphingosine-1-Phosphate-Mediated Chemotaxis,2009,Rajesh K. Sinha; Chung Park; Il-Young Hwang; Michael D. Davis; John H. Kehrl
10.1089/neu.2017.5265,Psychosocial and Executive Function Recovery Trajectories One Year after Pediatric Traumatic Brain Injury: The Influence of Age and Injury Severity,2018,Heather T. Keenan; Amy E. Clark; Richard Holubkov; Charles S. Cox; Linda Ewing-Cobbs
10.1289/ehp.5519,Effects of submicrometer particle compositions on cytokine production and lipid peroxidation of human bronchial epithelial cells.,2003,Song-Lih Huang; Miao-Kan Hsu; Chang-Chuan Chan
10.1038/sj.emboj.7600732,Structure and function of the complex formed by the tuberculosis virulence factors CFP-10 and ESAT-6,2005,Philip S Renshaw; Kirsty L Lightbody; Vaclav Veverka; Fred W Muskett; Geoff Kelly; Thomas A Frenkiel; Stephen V Gordon; R Glyn Hewinson; Bernard Burke; Jim Norman; Richard A Williamson; Mark D Carr
10.1002/nbm.787,Applications of diffusion‐weighted and diffusion tensor MRI to white matter diseases – a review,2002,Mark A. Horsfield; Derek K. Jones
10.1002/da.22235,EARLY-LIFE PREDICTORS OF INTERNALIZING SYMPTOM TRAJECTORIES IN CANADIAN CHILDREN,2014,Murray Weeks; John Cairney; T. Cameron Wild; George B. Ploubidis; Kiyuri Naicker; Ian Colman
10.1002/mus.26992,<scp>Guillain‐Barré</scp> Syndrome in a Patient With Minimal Symptoms of <scp>COVID</scp>‐19 Infection,2020,Emel Oguz‐Akarsu; Rifat Ozpar; Haci Mirzayev; Nilufer Aylin Acet‐Ozturk; Bahattin Hakyemez; Dane Ediger; Necdet Karli
10.1128/mBio.02133-16,"Comprehensive Essentiality Analysis of the
            <i>Mycobacterium tuberculosis</i>
            Genome via Saturating Transposon Mutagenesis",2017,Michael A. DeJesus; Elias R. Gerrick; Weizhen Xu; Sae Woong Park; Jarukit E. Long; Cara C. Boutte; Eric J. Rubin; Dirk Schnappinger; Sabine Ehrt; Sarah M. Fortune; Christopher M. Sassetti; Thomas R. Ioerger
10.1073/pnas.88.3.737,"Cord factor (alpha,alpha-trehalose 6,6'-dimycolate) inhibits fusion between phospholipid vesicles.",1991,B J Spargo; L M Crowe; T Ioneda; B L Beaman; J H Crowe
10.1073/pnas.0711863105,BDNF is essential to promote persistence of long-term memory storage,2008,Pedro Bekinschtein; Martín Cammarota; Cynthia Katche; Leandro Slipczuk; Janine I. Rossato; Andrea Goldin; Ivan Izquierdo; Jorge H. Medina
10.1111/bph.13772,The pro‐cognitive mechanisms of physical exercise in people with schizophrenia,2017,Joseph Firth; Jack Cotter; Rebekah Carney; Alison R Yung
10.1177/073428290101900201,Social and Antisocial Behavior of Children with Learning and Behavioral Disorders: Construct Validity of the Home and Community Social Behavior Scales,2001,Jacqueline Lund; Kenneth W. Merrell
10.1038/s41380-020-0711-y,GABA-A receptor differences in schizophrenia: a positron emission tomography study using [11C]Ro154513,2021,Tiago Reis Marques; Abhishekh H. Ashok; Ilinca Angelescu; Faith Borgan; Jim Myers; Anne Lingford-Hughes; David J. Nutt; Mattia Veronese; Federico E. Turkheimer; Oliver D. Howes
10.1016/j.yebeh.2010.01.010,The effect of temperament and neuropsychological functioning on behavior problems in children with new-onset seizures,2010,Katherine T. Baum; Anna W. Byars; Ton J. deGrauw; David W. Dunn; John E. Bates; Steven R. Howe; C.-Y. Peter Chiu; Joan K. Austin
